"CODE"	"lfd"	"trial"	"Upn"	"treat"	"ansshort"	"anslong"	"subjsicher"	"lfd"	"trial"	"Upn"	"solution"	"differ"
"250"	"DL731"	250	10	13	"T"	4	"Pik"	80	250	10	13	"Kreuz"	"FALSCH"
"251"	"DL731"	251	11	13	"T"	1	"Herz"	20	251	11	13	"Herz"	"WAHR"
"252"	"DL731"	252	12	13	"T"	2	"Karo"	50	252	12	13	"Herz"	"FALSCH"
"253"	"DL731"	253	13	13	"T"	3	"Kreuz"	50	253	13	13	"Pik"	"FALSCH"
"254"	"DL731"	254	14	13	"T"	1	"Herz"	20	254	14	13	"Pik"	"FALSCH"
"255"	"DL731"	255	15	13	"T"	2	"Karo"	80	255	15	13	"Karo"	"WAHR"
"256"	"DL731"	256	16	13	"T"	3	"Kreuz"	30	256	16	13	"Herz"	"FALSCH"
"257"	"DL731"	257	17	13	"T"	4	"Pik"	90	257	17	13	"Pik"	"WAHR"
"258"	"DL731"	258	18	13	"T"	1	"Herz"	80	258	18	13	"Karo"	"FALSCH"
"259"	"DL731"	259	19	13	"T"	3	"Kreuz"	10	259	19	13	"Herz"	"FALSCH"
"260"	"DL731"	260	20	13	"T"	2	"Karo"	20	260	20	13	"Herz"	"FALSCH"
"261"	"GG810"	261	1	14	"T"	4	"Pik"	60	261	1	14	"Kreuz"	"FALSCH"
"262"	"GG810"	262	2	14	"T"	2	"Karo"	30	262	2	14	"Karo"	"WAHR"
"263"	"GG810"	263	3	14	"T"	3	"Kreuz"	60	263	3	14	"Herz"	"FALSCH"
"264"	"GG810"	264	4	14	"T"	2	"Karo"	20	264	4	14	"Pik"	"FALSCH"
"265"	"GG810"	265	5	14	"T"	2	"Karo"	50	265	5	14	"Karo"	"WAHR"
"266"	"GG810"	266	6	14	"T"	2	"Karo"	60	266	6	14	"Karo"	"WAHR"
"267"	"GG810"	267	7	14	"T"	2	"Karo"	70	267	7	14	"Herz"	"FALSCH"
"268"	"GG810"	268	8	14	"T"	4	"Pik"	20	268	8	14	"Karo"	"FALSCH"
