"ID"	"W.noSC"	"uW.noSC"	"cc.noSC"	"age"	"sex"	"class"	"schoolt"	"schooltype"	"W.wSC"	"uW.wSC"	"cc.wSC"	"Schultyp"	"school"	"stype"
"175"	175	155	88	1.45	16	"m"	10	"1"	"R"	143	87	NA	"1"	"Realschule"	"R"
"176"	176	315	157	0.71	15	"w"	10	"1"	"R"	281	156	NA	"1"	"Realschule"	"R"
"177"	177	175	102	1.29	16	"w"	10	"1"	"R"	158	101	NA	"1"	"Realschule"	"R"
"178"	178	132	84	1.71	16	"m"	10	"1"	"R"	119	83	NA	"1"	"Realschule"	"R"
"179"	179	118	79	1.91	16	"m"	10	"1"	"R"	104	78	NA	"1"	"Realschule"	"R"
"180"	180	677	341	0.33	16	"w"	10	"1"	"R"	634	340	NA	"1"	"Realschule"	"R"
"181"	181	121	83	1.86	17	"w"	10	"1"	"R"	109	82	NA	"1"	"Realschule"	"R"
"182"	182	371	190	0.61	18	"w"	10	"1"	"R"	339	189	NA	"1"	"Realschule"	"R"
"183"	183	260	147	0.87	15	"w"	10	"1"	"R"	239	146	NA	"1"	"Realschule"	"R"
"184"	184	105	70	2.14	15	"m"	10	"1"	"R"	94	69	NA	"1"	"Realschule"	"R"
"185"	185	255	128	0.88	16	"w"	10	"1"	"R"	234	127	NA	"1"	"Realschule"	"R"
"186"	186	537	248	0.42	16	"w"	10	"1"	"R"	483	247	NA	"1"	"Realschule"	"R"
"187"	187	550	222	0.41	16	"w"	10	"1"	"R"	513	221	NA	"1"	"Realschule"	"R"
"188"	188	260	140	0.87	16	"w"	10	"1"	"R"	238	139	NA	"1"	"Realschule"	"R"
"189"	189	268	151	0.84	15	"w"	10	"1"	"R"	243	150	NA	"1"	"Realschule"	"R"
"190"	190	324	163	0.69	16	"w"	10	"1"	"R"	295	162	NA	"1"	"Realschule"	"R"
"191"	191	493	216	0.46	16	"w"	10	"1"	"R"	458	215	NA	"1"	"Realschule"	"R"
"192"	192	140	86	1.61	17	"m"	10	"1"	"R"	119	85	NA	"1"	"Realschule"	"R"
"193"	193	217	131	1.04	16	"m"	10	"1"	"R"	199	130	NA	"1"	"Realschule"	"R"
"194"	194	480	233	0.47	16	"w"	10	"1"	"R"	446	232	NA	"1"	"Realschule"	"R"
"195"	195	407	198	0.55	16	"w"	10	"1"	"R"	379	197	NA	"1"	"Realschule"	"R"
"196"	196	275	154	0.82	16	"w"	10	"1"	"R"	252	153	NA	"1"	"Realschule"	"R"
"197"	197	359	182	0.63	16	"w"	10	"1"	"R"	331	180	NA	"1"	"Realschule"	"R"
"198"	198	287	169	0.78	16	"m"	10	"1"	"R"	260	168	NA	"1"	"Realschule"	"R"
"199"	199	435	210	0.52	16	"w"	10	"1"	"R"	405	209	NA	"1"	"Realschule"	"R"
"200"	200	434	186	0.52	16	"w"	10	"1"	"R"	403	185	NA	"1"	"Realschule"	"R"
"201"	201	230	125	0.98	16	"w"	10	"1"	"R"	210	124	NA	"1"	"Realschule"	"R"
"202"	202	296	151	0.76	15	"w"	10	"1"	"R"	267	150	NA	"1"	"Realschule"	"R"
"203"	203	138	89	1.63	16	"m"	10	"1"	"R"	117	88	NA	"1"	"Realschule"	"R"
"204"	204	146	90	1.54	15	"m"	10	"1"	"R"	129	89	NA	"1"	"Realschule"	"R"
"205"	205	105	66	2.14	16	"m"	10	"1"	"R"	95	65	NA	"1"	"Realschule"	"R"
"206"	206	232	144	0.97	16	"m"	10	"1"	"R"	212	143	NA	"1"	"Realschule"	"R"
"207"	207	204	112	1.1	16	"m"	10	"1"	"R"	184	111	NA	"1"	"Realschule"	"R"
"208"	208	268	148	0.84	16	"m"	10	"1"	"R"	242	147	NA	"1"	"Realschule"	"R"
"209"	209	153	95	1.47	17	"m"	10	"1"	"R"	134	93	NA	"1"	"Realschule"	"R"
"210"	210	89	54	2.53	16	"m"	10	"1"	"R"	76	53	NA	"1"	"Realschule"	"R"
"211"	211	209	114	1.08	16	"m"	10	"1"	"R"	186	113	NA	"1"	"Realschule"	"R"
"212"	212	359	173	0.63	16	"w"	10	"1"	"R"	335	172	NA	"1"	"Realschule"	"R"
"213"	213	443	207	0.51	15	"w"	10	"1"	"R"	409	206	NA	"1"	"Realschule"	"R"
"214"	214	197	112	1.14	15	"m"	10	"1"	"R"	175	111	NA	"1"	"Realschule"	"R"
"215"	215	205	114	1.1	16	"m"	10	"1"	"R"	191	113	NA	"1"	"Realschule"	"R"
"216"	216	364	176	0.62	16	"w"	10	"1"	"R"	321	174	NA	"1"	"Realschule"	"R"
"217"	217	121	73	1.86	16	"m"	10	"1"	"R"	107	72	NA	"1"	"Realschule"	"R"
"218"	218	389	202	0.58	16	"w"	10	"1"	"R"	358	201	NA	"1"	"Realschule"	"R"
"219"	219	141	81	1.6	15	"m"	10	"1"	"R"	122	80	NA	"1"	"Realschule"	"R"
"220"	220	301	144	0.75	16	"m"	10	"1"	"R"	268	143	NA	"1"	"Realschule"	"R"
"221"	221	281	160	0.8	16	"w"	10	"1"	"R"	260	159	NA	"1"	"Realschule"	"R"
"222"	222	578	239	0.39	17	"w"	10	"1"	"R"	535	238	NA	"1"	"Realschule"	"R"
"223"	223	154	97	1.46	16	"m"	10	"1"	"R"	141	96	NA	"1"	"Realschule"	"R"
"224"	224	219	131	1.03	15	"m"	10	"1"	"R"	195	130	NA	"1"	"Realschule"	"R"
"225"	225	156	89	1.44	16	"m"	10	"1"	"R"	143	88	NA	"1"	"Realschule"	"R"
"226"	226	186	103	1.21	16	"m"	10	"1"	"R"	166	102	NA	"1"	"Realschule"	"R"
"227"	227	184	113	1.22	16	"w"	10	"1"	"R"	170	112	NA	"1"	"Realschule"	"R"
"228"	228	127	75	1.77	16	"w"	10	"1"	"R"	113	74	NA	"1"	"Realschule"	"R"
"229"	229	193	104	1.17	17	"w"	10	"1"	"R"	177	103	NA	"1"	"Realschule"	"R"
"230"	230	204	121	1.1	17	"m"	10	"1"	"R"	184	120	NA	"1"	"Realschule"	"R"
"231"	231	165	91	1.36	16	"m"	10	"1"	"R"	150	90	NA	"1"	"Realschule"	"R"
"232"	232	177	96	1.27	16	"m"	10	"1"	"R"	162	95	NA	"1"	"Realschule"	"R"
"233"	233	393	174	0.57	17	"m"	10	"1"	"R"	359	173	NA	"1"	"Realschule"	"R"
"234"	234	225	124	1	15	"m"	10	"1"	"R"	201	123	NA	"1"	"Realschule"	"R"
"235"	235	280	150	0.8	16	"m"	10	"1"	"R"	262	149	NA	"1"	"Realschule"	"R"
"236"	236	284	146	0.79	16	"m"	10	"1"	"R"	258	145	NA	"1"	"Realschule"	"R"
"237"	237	264	146	0.85	15	"m"	10	"1"	"R"	245	145	NA	"1"	"Realschule"	"R"
"238"	238	103	69	2.19	15	"m"	10	"1"	"R"	90	68	NA	"1"	"Realschule"	"R"
"239"	239	183	113	1.23	16	"m"	10	"1"	"R"	166	112	NA	"1"	"Realschule"	"R"
"240"	240	169	100	1.33	16	"m"	10	"1"	"R"	156	99	NA	"1"	"Realschule"	"R"
"241"	241	149	99	1.51	16	"m"	10	"1"	"R"	135	98	NA	"1"	"Realschule"	"R"
